date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:22	161356/161356	---MCZ	200	added ('OK')	text/plain	etag:W/%223861f93-2764c-564aecda77f97%22	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_medium.ttf	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_medium.ttf	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:23	111579/111579	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223861f8d-1b3db-564aecd9b004b%22	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_bold.eot	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_bold.eot	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:24	573404/573404	---M--	200	added ('OK')	image/svg+xml	etag:%223861f95-8bfdc-564aecdac6d57%22	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_medium.svg	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_medium.svg	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:24	111579/111579	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223861f8d-1b3db-564aecd9b004b%22	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_bold.eot?	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_boldd41d.eot	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:25	393/393	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2020%20Feb%202018%2015:32:24%20GMT	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_bold.eot	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_bold.eot	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:26	61300/61300	---MCZ	200	added ('OK')	text/plain	etag:W/%223861f90-ef74-564aecda0539c%22	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_bold.woff	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_bold.woff	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:27	167724/167724	---MCZ	200	added ('OK')	text/plain	etag:W/%223861f8f-28f2c-564aecdb235d8%22	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_bold.ttf	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_bold.ttf	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:28	6574/6574	---M--	200	added ('OK')	image/png	etag:%2238a1dfe-19ae-564aecdb12c37%22	https://shopresurs.ru/finishingtouch3/img/button.png	/home/abbyz/websites/Finishing%20Touch/web/images/button.png	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:29	600674/600674	---M--	200	added ('OK')	image/svg+xml	etag:%223861f8e-92a62-564aecdc98e8e%22	https://shopresurs.ru/finishingtouch3/fonts/din_round_pro_bold.svg	/home/abbyz/websites/Finishing%20Touch/web/images/din_round_pro_bold.svg	(from https://shopresurs.ru/finishingtouch3/css/main.css)
17:32:29	1206/1206	---M--	200	added ('OK')	image/png	etag:%2238a1e0b-4b6-564aecdb3e773%22	https://shopresurs.ru/finishingtouch3/img/timer-bg.png	/home/abbyz/websites/Finishing%20Touch/web/images/timer-bg.png	(from https://shopresurs.ru/finishingtouch3/css/main.css)
